"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","county","preparations"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",35.759918,127.413038,"ASIA","Jeollabuk-do",2023,9,3,"cdc,cdround","https://www.inaturalist.org/observations/181598821","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4424183869","181598821",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",35.760197,127.413081,"ASIA","Jeollabuk-do",2023,9,3,"cdc,cdround","https://www.inaturalist.org/observations/181598823","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4424226861","181598823",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",37.934049,127.091132,"ASIA","Gyeonggi-do",2023,9,13,"cdc,cdround","https://www.inaturalist.org/observations/183031908","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4413617226","183031908",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.21008,126.258112,"ASIA","Jeju",2023,9,16,"cdc,cdround","https://www.inaturalist.org/observations/183465427","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4414278571","183465427",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",35.932537,127.206613,"ASIA","Jeollabuk-do",2023,9,17,"cdc,cdround","https://www.inaturalist.org/observations/183647627","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4414174280","183647627",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",36.369946,127.23605,"ASIA","Chungcheongnam-do",2023,9,19,"cdc,cdround","https://www.inaturalist.org/observations/184202686","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4416880203","184202686",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.436264,126.629865,"ASIA","Jeju",2023,9,30,"cdc,cdround","https://www.inaturalist.org/observations/202117018","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4596993941","202117018",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.436397,126.630386,"ASIA","Jeju",2023,9,30,"cdc,cdround","https://www.inaturalist.org/observations/202117020","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4596935018","202117020",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",33.519344,126.553479,"ASIA","Jeju",2023,10,4,"cdc,cdround","https://www.inaturalist.org/observations/186125853","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4424196249","186125853",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",36.417024,126.859357,"ASIA","Chungcheongnam-do",2023,10,9,"cdc,cdround","https://www.inaturalist.org/observations/186823672","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4424561655","186823672",NA,NA,NA
