"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","county","preparations","type"
"7c0a5579-c995-4daa-a75b-c96c696a599e","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",36.654662,126.614291,"ASIA","Chungcheongnam-do",2023,4,19,"cdc,gass84",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","4526215306","NSMK-OB-AR-230500004","Deoksan-myeon","Yesan-gun",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",36.196185,127.337625,"ASIA","Chungcheongnam-do",2023,5,4,"cdc,cdround","https://www.inaturalist.org/observations/159654645","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4111655133","159654645",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",36.792,127.072753,"ASIA","Chungcheongnam-do",2023,5,4,"cdc,cdround","https://www.inaturalist.org/observations/159660275","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4112073176","159660275",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",36.79312,127.06952,"ASIA","Chungcheongnam-do",2023,5,8,"cdc,cdround","https://www.inaturalist.org/observations/160558575","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4111820061","160558575",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",36.791337,127.075225,"ASIA","Chungcheongnam-do",2023,5,9,"cdc,cdround","https://www.inaturalist.org/observations/160817924","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4116543682","160817924",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",36.833745,127.194817,"ASIA","Chungcheongnam-do",2023,5,10,"cdc,cdround","https://www.inaturalist.org/observations/160885006","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4116368989","160885006",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",36.79168,127.077356,"ASIA","Chungcheongnam-do",2023,5,12,"cdc,cdround","https://www.inaturalist.org/observations/161232780","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4116547440","161232780",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",37.06088,127.063151,"ASIA","Gyeonggi-do",2023,5,15,"cdc,cdround","https://www.inaturalist.org/observations/161787224","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4120895681","161787224",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",36.791845,127.073508,"ASIA","Chungcheongnam-do",2023,5,16,"cdc,cdround","https://www.inaturalist.org/observations/162027322","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4116311607","162027322",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",34.075054,125.113431,"ASIA","Jeollanam-do",2023,5,14,"cdc","https://www.inaturalist.org/observations/162258129","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4121187290","162258129",NA,NA,NA,NA
