"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","preparations","type","locality","elevation"
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Oocatochus rufodorsatus",35.562221,128.89013,"ASIA",NA,2003,2,1,"cdc,cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001820776",NA,NA,NA,NA,NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Oocatochus rufodorsatus",35.568517,128.919807,"ASIA",NA,2003,2,1,"cdc,cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001829665",NA,NA,NA,NA,NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Oocatochus rufodorsatus",35.525116,128.876936,"ASIA",NA,2003,2,1,"cdc,cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001314720",NA,NA,NA,NA,NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Oocatochus rufodorsatus",35.578804,128.961349,"ASIA",NA,2003,2,1,"cdc,cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001793747",NA,NA,NA,NA,NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Oocatochus rufodorsatus",35.487282,128.879366,"ASIA",NA,2003,2,1,"cdc,cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001320640",NA,NA,NA,NA,NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Oocatochus rufodorsatus",35.488617,128.890925,"ASIA",NA,2003,2,1,"cdc,cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001787743",NA,NA,NA,NA,NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Oocatochus rufodorsatus",35.578498,128.984709,"ASIA",NA,2003,2,1,"cdc,cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001834693",NA,NA,NA,NA,NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Oocatochus rufodorsatus",35.507398,128.938978,"ASIA",NA,2003,2,1,"cdc,cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001318712",NA,NA,NA,NA,NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Oocatochus rufodorsatus",35.488837,128.931802,"ASIA",NA,2003,2,1,"cdc,cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001322720",NA,NA,NA,NA,NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Oocatochus rufodorsatus",35.471804,128.900089,"ASIA",NA,2003,2,1,"cdc,cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001829668",NA,NA,NA,NA,NA
