"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","county","preparations","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",35.716954,128.49095,"ASIA","Daegu",2024,6,16,"cdc,cdround","https://www.inaturalist.org/observations/223049102","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4901485608","223049102",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",35.109459,126.007142,"ASIA","Jeollanam-do",2024,6,19,"cdc,cdround","https://www.inaturalist.org/observations/223946609","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4901593841","223946609",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.653899,126.333475,"ASIA","Chungcheongnam-do",2023,2,13,"cdc,cdround","https://www.inaturalist.org/observations/148680703","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4034848731","148680703",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",33.297054,126.314945,"ASIA","Jeju",2023,4,7,"cdc,cdround","https://www.inaturalist.org/observations/153765934","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4080644939","153765934",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.734345,126.311026,"ASIA","Chungcheongnam-do",2023,4,7,"cdc,cdround","https://www.inaturalist.org/observations/153796572","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4080978951","153796572",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.669942,126.302584,"ASIA","Chungcheongnam-do",2023,4,7,"cdc,cdround","https://www.inaturalist.org/observations/153796658","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4080483953","153796658",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",37.335077,126.982148,"ASIA","Gyeonggi-do",2023,4,7,"cdc,cdround","https://www.inaturalist.org/observations/153887772","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4080675045","153887772",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",37.21029,126.851992,"ASIA","Gyeonggi-do",2023,4,7,"cdc,cdround","https://www.inaturalist.org/observations/153887775","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4080936061","153887775",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.618029,126.324982,"ASIA","Chungcheongnam-do",2023,4,10,"cdc,cdround","https://www.inaturalist.org/observations/154242193","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4080827490","154242193",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.674047,127.52025,"ASIA","Chungcheongbuk-do",2023,4,10,"cdc,cdround","https://www.inaturalist.org/observations/154262490","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4080906446","154262490",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",35.444931,128.347093,"ASIA","Gyeongsangnam-do",2023,4,15,"cdc,cdround","https://www.inaturalist.org/observations/155088529","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4120994391","155088529",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",35.168098,128.393032,"ASIA","Gyeongsangnam-do",2023,4,16,"cdc,cdround","https://www.inaturalist.org/observations/155120205","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4121209459","155120205",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pelophylax nigromaculatus",36.784233,126.348522,"ASIA","Chungcheongnam-do",2023,4,15,"cdc,cdround","https://www.inaturalist.org/observations/155128337","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","4096491684","155128337",NA,NA,NA,NA
