"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",36.915093,127.044079,"ASIA","Gyeonggi-do",2019,6,15,"cdc,cdround","https://www.inaturalist.org/observations/26994509","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2269240971","26994509"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",36.936623,127.144713,"ASIA","Gyeonggi-do",2019,6,15,"cdc,cdround","https://www.inaturalist.org/observations/26994512","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2269240139","26994512"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",36.820162,127.159875,"ASIA","Gyeonggi-do",2019,6,15,"cdc,cdround","https://www.inaturalist.org/observations/26994513","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2269240287","26994513"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",36.918872,127.013053,"ASIA","Gyeonggi-do",2019,6,15,"cdc,cdround","https://www.inaturalist.org/observations/26994515","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2269240805","26994515"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",36.692397,126.548706,"ASIA","Chungcheongnam-do",2019,6,15,"cdc,cdround","https://www.inaturalist.org/observations/27018368","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2269249266","27018368"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",36.615351,126.421252,"ASIA","Chungcheongnam-do",2019,6,15,"cdc,cdround","https://www.inaturalist.org/observations/27018370","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2269249468","27018370"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",36.710851,126.560342,"ASIA","Chungcheongnam-do",2019,6,15,"cdc,cdround","https://www.inaturalist.org/observations/27018420","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2269248901","27018420"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",36.615418,126.489727,"ASIA","Chungcheongnam-do",2019,6,30,"cdc,cdround","https://www.inaturalist.org/observations/27924914","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2283082504","27924914"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.696989,126.645313,"ASIA","Gyeonggi-do",2018,5,26,"cdc,cdround","https://www.inaturalist.org/observations/12823758","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2609067443","12823758"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.581689,126.904472,"ASIA","Gyeonggi-do",2018,5,14,"cdc,cdround","https://www.inaturalist.org/observations/16518222","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2573790887","16518222"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.472219,126.93662,"ASIA","Gyeonggi-do",2018,5,14,"cdc,cdround","https://www.inaturalist.org/observations/16518227","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2573790905","16518227"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.53568,126.948083,"ASIA","Gyeonggi-do",2018,5,14,"cdc,cdround","https://www.inaturalist.org/observations/16518228","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2573790879","16518228"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.421941,126.893774,"ASIA","Gyeonggi-do",2018,5,14,"cdc,cdround","https://www.inaturalist.org/observations/16518229","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2573790884","16518229"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.434733,126.894205,"ASIA","Gyeonggi-do",2018,5,14,"cdc,cdround","https://www.inaturalist.org/observations/16518231","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2573790891","16518231"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.493469,126.979305,"ASIA","Gyeonggi-do",2018,5,14,"cdc,cdround","https://www.inaturalist.org/observations/16518234","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2573790882","16518234"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.587003,126.978881,"ASIA","Gyeonggi-do",2018,5,14,"cdc,cdround","https://www.inaturalist.org/observations/16518235","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2573790888","16518235"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.458652,126.938675,"ASIA","Gyeonggi-do",2018,5,14,"cdc,cdround","https://www.inaturalist.org/observations/16518236","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1990452550","16518236"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.483015,126.841696,"ASIA","Gyeonggi-do",2018,5,14,"cdc,cdround","https://www.inaturalist.org/observations/16518237","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1990452552","16518237"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.287232,126.939799,"ASIA","Gyeonggi-do",2018,5,14,"cdc,cdround","https://www.inaturalist.org/observations/16518239","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1990452555","16518239"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.788861,126.704432,"ASIA","Gyeonggi-do",2018,5,26,"cdc,cdround","https://www.inaturalist.org/observations/16660398","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1990453096","16660398"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.174718,127.157328,"ASIA","Gyeonggi-do",2018,6,24,"cdc,cdround","https://www.inaturalist.org/observations/13763980","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1890668418","13763980"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",36.834965,126.803191,"ASIA","Chungcheongnam-do",2018,6,23,"cdc,cdround","https://www.inaturalist.org/observations/13765530","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2609067750","13765530"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.776282,126.628689,"ASIA","Gyeonggi-do",2018,6,24,"cdc,cdround","https://www.inaturalist.org/observations/13765531","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2609067751","13765531"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.606027,126.730831,"ASIA","Gyeonggi-do",2018,6,24,"cdc,cdround","https://www.inaturalist.org/observations/13765532","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1891291061","13765532"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.183143,127.069882,"ASIA","Gyeonggi-do",2018,6,24,"cdc,cdround","https://www.inaturalist.org/observations/16203311","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2573790068","16203311"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.014462,127.118897,"ASIA","Gyeonggi-do",2018,6,24,"cdc,cdround","https://www.inaturalist.org/observations/16203312","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2573790073","16203312"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.503396,126.851269,"ASIA","Gyeonggi-do",2018,7,19,"cdc,cdround","https://www.inaturalist.org/observations/16320678","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2573790298","16320678"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.560218,126.934051,"ASIA","Gyeonggi-do",2018,7,19,"cdc,cdround","https://www.inaturalist.org/observations/16320684","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2573790368","16320684"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.187416,127.383584,"ASIA","Gyeonggi-do",2017,5,23,"cdc,cdround","https://www.inaturalist.org/observations/6332452","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2573826658","6332452"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",36.846095,127.173468,"ASIA","Chungcheongnam-do",2017,5,24,"cdc,cdround","https://www.inaturalist.org/observations/6356286","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2574135762","6356286"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",36.872795,127.153549,"ASIA","Chungcheongnam-do",2017,5,24,"cdc,cdround","https://www.inaturalist.org/observations/6356294","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2573811649","6356294"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",36.860663,126.907434,"ASIA","Chungcheongnam-do",2017,5,29,"cdc,cdround","https://www.inaturalist.org/observations/6570577","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1668799983","6570577"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",36.806938,126.828917,"ASIA","Chungcheongnam-do",2017,5,29,"cdc,cdround","https://www.inaturalist.org/observations/6570580","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2573969666","6570580"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.414854,126.670533,"ASIA","Gyeonggi-do",2017,6,23,"cdc,cdround","https://www.inaturalist.org/observations/6885516","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1640039794","6885516"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.529562,126.982276,"ASIA","Gyeonggi-do",2017,8,11,"cdc,cdround","https://www.inaturalist.org/observations/7618058","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1640048834","7618058"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.472768,126.874796,"ASIA","Gyeonggi-do",2017,8,21,"cdc,cdround","https://www.inaturalist.org/observations/7645554","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2573820681","7645554"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.588364,126.904795,"ASIA","Gyeonggi-do",2017,8,23,"cdc,cdround","https://www.inaturalist.org/observations/7645758","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1802631258","7645758"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dryophytes immaculatus",37.872721,126.641931,"ASIA","Gyeonggi-do",2017,9,1,"cdc,cdround","https://www.inaturalist.org/observations/7739204","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1802632027","7739204"
